,name,position,primary_color,secondary_color,badge_url,avatar_url,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,ownGoals,wasFouled,fouls,totalOffside,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,keyPass,expectedAssists,groundWon
22,Tiquinho Soares,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/789100/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Leandro Matheus,G,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1610100/image,25.0,17.0,13.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,90.0,35.0,6.8,8.0,0.0,0.0,0.0,1.0
1,Yago,D,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/869533/image,25.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,43.0,6.5,12.0,0.01,0.0,0.0,1.0
2,Gustavo Barbosa da Rocha,D,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1641053/image,40.0,36.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,52.0,7.0,4.0,0.0,0.0,0.0,5.0
3,Eduardo Thuram,D,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1108015/image,30.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,40.0,6.7,6.0,0.0,0.0,0.0,7.0
4,Paulo Vitor,D,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1015926/image,37.0,34.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,14.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,44.0,6.3,3.0,0.09,0.0,0.0,2.0
5,Eduardo Rosado,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1097154/image,17.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,7.2,1.0,0.13,0.0,0.0,5.0
6,Octávio,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1645908/image,9.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,6.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,24.0,6.5,4.0,0.09,0.0,0.0,6.0
7,Marcelo,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/867872/image,29.0,27.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,14.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,39.0,7.4,5.0,0.0,3.0,0.25,4.0
8,Alexandre Souza Domingues,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1641049/image,19.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,32.0,6.6,5.0,0.02,0.0,0.0,12.0
9,Maswel Ananias Silva,M,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/1642625/image,11.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,6.0,1.0,1.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0,25.0,6.6,8.0,0.07,0.0,0.0,6.0
10,Abner,F,#00479C,#FFC415,https://api.sofascore.com/api/v1/team/257632/image,https://api.sofascore.com/api/v1/player/868015/image,17.0,10.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,17.0,11.0,2.0,1.0,10.0,8.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,46.0,7.2,9.0,0.21,0.0,0.0,11.0
